,date,gap,gap_direction,filled
281,2019-06-14,-0.3299999999999841,down,True
282,2019-06-17,0.20999999999997954,up,True
283,2019-06-18,1.9300000000000068,up,False
284,2019-06-19,0.18000000000000682,up,True
285,2019-06-20,2.9500000000000455,up,False
286,2019-06-21,-1.8700000000000045,down,False
287,2019-06-24,-0.0999999999999659,down,True
288,2019-06-25,0.01999999999998181,up,True
289,2019-06-26,0.8199999999999932,up,True
290,2019-06-27,0.8100000000000023,up,False
291,2019-06-28,0.8700000000000045,up,False
292,2019-07-01,3.269999999999982,up,False
293,2019-07-02,0.08999999999997499,up,True
294,2019-07-03,0.8000000000000114,up,False
295,2019-07-05,-1.2700000000000387,down,False
296,2019-07-08,-1.259999999999991,down,False
297,2019-07-09,-1.4399999999999977,down,True
298,2019-07-10,1.1800000000000068,up,False
299,2019-07-11,0.6399999999999864,up,True
300,2019-07-12,0.5,up,False
301,2019-07-15,0.4900000000000091,up,True
302,2019-07-16,-0.07000000000005002,down,True
303,2019-07-17,-0.009999999999990905,down,True
304,2019-07-18,-0.7400000000000091,down,True
305,2019-07-19,1.1299999999999955,up,True
306,2019-07-22,0.4700000000000273,up,True
307,2019-07-23,1.3199999999999932,up,False
308,2019-07-24,-0.7099999999999795,down,True
309,2019-07-25,-0.36000000000001364,down,False
310,2019-07-26,0.8100000000000023,up,False
311,2019-07-29,-0.060000000000002274,down,False
312,2019-07-30,-1.5600000000000023,down,False
313,2019-07-31,0.25,up,True
314,2019-08-01,0.19999999999998863,up,True
315,2019-08-02,-1.0,down,False
316,2019-08-05,-4.430000000000007,down,False
317,2019-08-06,1.82000000000005,up,False
318,2019-08-07,-3.4499999999999886,down,True
319,2019-08-08,1.3000000000000114,up,False
320,2019-08-09,-1.0600000000000023,down,False
321,2019-08-12,-1.7000000000000455,down,False
322,2019-08-13,-0.2799999999999727,down,True
323,2019-08-14,-4.400000000000034,down,False
324,2019-08-15,0.8299999999999841,up,True
325,2019-08-16,1.660000000000025,up,False
326,2019-08-19,3.490000000000009,up,False
327,2019-08-20,-0.4900000000000091,down,True
328,2019-08-21,2.4500000000000455,up,False
329,2019-08-22,0.75,up,True
330,2019-08-23,-1.3799999999999955,down,True
331,2019-08-26,2.1499999999999773,up,False
332,2019-08-27,1.3400000000000318,up,True
333,2019-08-28,-0.3100000000000023,down,True
334,2019-08-29,2.890000000000043,up,False
335,2019-08-30,1.6399999999999864,up,True
336,2019-09-03,-1.910000000000025,down,False
337,2019-09-04,2.5100000000000477,up,False
338,2019-09-05,2.839999999999975,up,False
339,2019-09-06,0.6000000000000227,up,True
340,2019-09-09,1.0699999999999932,up,True
341,2019-09-10,-0.6699999999999591,down,True
342,2019-09-11,0.5,up,True
343,2019-09-12,1.009999999999991,up,False
344,2019-09-13,0.4399999999999977,up,True
345,2019-09-16,-1.2700000000000387,down,False
346,2019-09-17,-0.2699999999999818,down,True
347,2019-09-18,-0.4399999999999977,down,True
348,2019-09-19,0.39999999999997726,up,True
349,2019-09-20,-0.7799999999999727,down,False
350,2019-09-23,-0.7199999999999704,down,True
351,2019-09-24,1.0600000000000023,up,True
352,2019-09-25,0.05000000000001137,up,True
353,2019-09-26,-0.03000000000002956,down,True
354,2019-09-27,0.7299999999999613,up,True
355,2019-09-30,0.4399999999999977,up,False
356,2019-10-01,0.7100000000000364,up,True
357,2019-10-02,-1.759999999999991,down,False
358,2019-10-03,-0.2699999999999818,down,True
359,2019-10-04,0.6800000000000068,up,False
360,2019-10-07,-0.7999999999999545,down,True
361,2019-10-08,-2.009999999999991,down,False
362,2019-10-09,1.990000000000009,up,False
363,2019-10-10,0.2599999999999909,up,False
364,2019-10-11,2.910000000000025,up,False
365,2019-10-14,-0.01999999999998181,down,True
366,2019-10-15,1.17999999999995,up,False
367,2019-10-16,-0.6099999999999568,down,True
368,2019-10-17,1.170000000000016,up,False
369,2019-10-18,-0.5099999999999909,down,True
370,2019-10-21,1.4399999999999977,up,False
371,2019-10-22,0.5999999999999659,up,True
372,2019-10-23,-0.2699999999999818,down,True
373,2019-10-24,1.0500000000000114,up,True
374,2019-10-25,-0.8100000000000023,down,True
375,2019-10-28,1.3000000000000114,up,False
376,2019-10-29,-0.2699999999999818,down,True
377,2019-10-30,0.25,up,True
378,2019-10-31,0.040000000000020464,up,True
379,2019-11-01,1.4600000000000364,up,False
380,2019-11-04,1.830000000000041,up,False
381,2019-11-05,0.18999999999999773,up,True
382,2019-11-06,0.11000000000001364,up,True
383,2019-11-07,1.4599999999999795,up,False
384,2019-11-08,-0.40999999999996817,down,True
385,2019-11-11,-1.509999999999991,down,False
386,2019-11-12,0.34000000000003183,up,True
387,2019-11-13,-0.9799999999999613,down,True
388,2019-11-14,-0.40999999999996817,down,True
389,2019-11-15,1.4599999999999795,up,False
390,2019-11-18,-0.23999999999995225,down,True
391,2019-11-19,0.6500000000000341,up,True
392,2019-11-20,-0.5600000000000023,down,False
393,2019-11-21,0.15999999999996817,up,True
394,2019-11-22,0.8199999999999932,up,True
395,2019-11-25,0.9000000000000341,up,False
396,2019-11-26,0.08000000000004093,up,True
397,2019-11-27,0.5400000000000205,up,False
398,2019-11-29,-0.6000000000000227,down,False
399,2019-12-02,0.05000000000001137,up,True
400,2019-12-03,-3.0500000000000114,down,False
401,2019-12-04,1.2199999999999704,up,False
402,2019-12-05,0.8600000000000136,up,True
403,2019-12-06,2.160000000000025,up,False
404,2019-12-09,-0.35000000000002274,down,True
405,2019-12-10,-0.009999999999990905,down,True
406,2019-12-11,0.42999999999995,up,True
407,2019-12-12,0.029999999999972715,up,True
408,2019-12-13,-0.05000000000001137,down,True
409,2019-12-16,1.8600000000000136,up,False
410,2019-12-17,0.3100000000000023,up,True
411,2019-12-18,0.4300000000000068,up,True
412,2019-12-19,0.18000000000000682,up,False
413,2019-12-20,-0.5200000000000387,down,True
414,2019-12-23,0.4000000000000341,up,True
415,2019-12-24,0.20999999999997954,up,True
416,2019-12-26,0.4600000000000364,up,False
417,2019-12-27,0.8700000000000045,up,True
418,2019-12-30,0.12000000000000455,up,True
419,2019-12-31,-0.7700000000000387,down,True
420,2020-01-02,1.4600000000000364,up,False
421,2020-01-03,-3.57000000000005,down,False
422,2020-01-06,-2.0399999999999636,down,True
423,2020-01-07,-0.7100000000000364,down,False
424,2020-01-08,0.2599999999999909,up,True
425,2020-01-09,1.5399999999999636,up,False
426,2020-01-10,0.7599999999999909,up,True
427,2020-01-13,0.7799999999999727,up,False
428,2020-01-14,-0.38999999999998636,down,True
429,2020-01-15,-0.28000000000002956,down,True
430,2020-01-16,1.4399999999999977,up,False
431,2020-01-17,0.8700000000000045,up,False
432,2020-01-21,-1.0200000000000387,down,True
433,2020-01-22,0.8500000000000227,up,True
434,2020-01-23,-0.6800000000000068,down,True
435,2020-01-24,0.7300000000000182,up,True
436,2020-01-27,-5.680000000000007,down,False
437,2020-01-28,1.5500000000000114,up,False
438,2020-01-29,1.3700000000000045,up,True
439,2020-01-30,-2.3999999999999773,down,True
440,2020-01-31,-0.9200000000000159,down,False
441,2020-02-03,1.4800000000000182,up,False
442,2020-02-04,4.089999999999975,up,False
443,2020-02-05,3.2099999999999795,up,False
444,2020-02-06,0.9599999999999795,up,True
445,2020-02-07,-1.1200000000000045,down,False
446,2020-02-10,-0.839999999999975,down,True
447,2020-02-11,1.5900000000000318,up,False
448,2020-02-12,1.5499999999999545,up,False
449,2020-02-13,-1.6100000000000136,down,True
450,2020-02-14,0.2599999999999909,up,True
451,2020-02-18,-1.0699999999999932,down,False
452,2020-02-19,1.0,up,False
453,2020-02-20,-0.8299999999999841,down,True
454,2020-02-21,-1.580000000000041,down,False
455,2020-02-24,-10.560000000000002,down,False
456,2020-02-25,1.6100000000000136,up,True
457,2020-02-26,1.1899999999999977,up,True
458,2020-02-27,-5.770000000000039,down,False
459,2020-02-28,-9.830000000000041,down,False
460,2020-03-02,2.1200000000000045,up,True
461,2020-03-03,0.5099999999999909,up,True
462,2020-03-04,5.5,up,False
463,2020-03-05,-7.199999999999989,down,False
464,2020-03-06,-8.700000000000045,down,False
465,2020-03-09,-21.539999999999964,down,False
466,2020-03-10,11.409999999999968,up,False
467,2020-03-11,-8.069999999999993,down,False
468,2020-03-12,-18.129999999999995,down,False
469,2020-03-13,14.870000000000033,up,False
470,2020-03-16,-28.889999999999986,down,False
471,2020-03-17,3.3300000000000125,up,True
472,2020-03-18,-15.349999999999994,down,False
473,2020-03-19,0.4399999999999977,up,True
474,2020-03-20,2.2099999999999795,up,True
475,2020-03-23,-2.1200000000000045,down,False
476,2020-03-24,13.169999999999987,up,False
477,2020-03-25,2.25,up,True
478,2020-03-26,1.9399999999999977,up,False
479,2020-03-27,-7.75,down,False
480,2020-03-30,2.280000000000001,up,False
481,2020-03-31,-0.5500000000000114,down,True
482,2020-04-01,-9.01000000000002,down,False
483,2020-04-02,-0.5699999999999932,down,True
484,2020-04-03,-0.9300000000000068,down,True
485,2020-04-06,9.650000000000006,up,False
486,2020-04-07,9.859999999999957,up,False
487,2020-04-08,2.759999999999991,up,False
488,2020-04-09,3.6499999999999773,up,False
489,2020-04-13,-0.8600000000000136,down,False
490,2020-04-14,5.160000000000025,up,False
491,2020-04-15,-6.2099999999999795,down,False
492,2020-04-16,1.3199999999999932,up,True
493,2020-04-17,6.269999999999982,up,False
494,2020-04-20,-3.9799999999999613,down,False
495,2020-04-21,-5.089999999999975,down,False
496,2020-04-22,4.720000000000027,up,False
497,2020-04-23,1.5,up,True
498,2020-04-24,1.9300000000000068,up,True
499,2020-04-27,1.8899999999999864,up,False
500,2020-04-28,3.8799999999999955,up,True
501,2020-04-29,5.569999999999993,up,False
502,2020-04-30,-1.8500000000000227,down,False
503,2020-05-01,-4.569999999999993,down,False
504,2020-05-04,-2.115000000000009,down,True
505,2020-05-05,3.159999999999968,up,False
506,2020-05-06,1.8600000000000136,up,True
507,2020-05-07,3.7900000000000205,up,False
508,2020-05-08,3.2799999999999727,up,False
509,2020-05-11,-2.490000000000009,down,True
510,2020-05-12,1.1299999999999955,up,True
511,2020-05-13,-0.3299999999999841,down,True
512,2020-05-14,-2.4399999999999977,down,True
513,2020-05-15,-2.759999999999991,down,True
514,2020-05-18,7.069999999999993,up,False
515,2020-05-19,-0.7099999999999795,down,True
516,2020-05-20,3.819999999999993,up,False
517,2020-05-21,-0.36000000000001364,down,True
518,2020-05-22,-0.3299999999999841,down,True
519,2020-05-26,6.4599999999999795,up,False
520,2020-05-27,2.740000000000009,up,True
521,2020-05-28,1.3100000000000023,up,True
522,2020-05-29,-0.9900000000000091,down,True
523,2020-06-01,-1.1200000000000045,down,True
524,2020-06-02,1.2200000000000273,up,True
525,2020-06-03,2.230000000000018,up,False
526,2020-06-04,-1.0,down,True
527,2020-06-05,5.939999999999998,up,False
528,2020-06-08,0.8899999999999864,up,False
529,2020-06-09,-2.839999999999975,down,False
530,2020-06-10,0.5099999999999909,up,True
531,2020-06-11,-7.800000000000011,down,False
532,2020-06-12,6.730000000000018,up,True
533,2020-06-15,-6.430000000000007,down,True
534,2020-06-16,8.259999999999991,up,False
535,2020-06-17,1.3899999999999864,up,True
536,2020-06-18,-1.7100000000000364,down,True
537,2020-06-19,2.4599999999999795,up,True
538,2020-06-22,-0.12999999999999545,down,True
539,2020-06-23,2.670000000000016,up,False
540,2020-06-24,-2.5,down,False
